Ticker,Rank,Name,Market Cap,Country,Shares,6mo Gain Abs,6mo Gain Pct,1st Month Gain,Sector_Communication Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Real Estate,Sector_Technology,Sector_Utilities,6mo Veredict_loss,6mo Veredict_neutral,6mo Veredict_gain,6mo Veredict_big gain
300750.SZ,42,CATL,240700000000.0,🇨🇳 China,2330783383.363997,272.03000000000003,0.701180534075678,104.16000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1398.HK,43,ICBC,240480000000.0,🇨🇳 China,445333333333.3333,-0.6699999999999999,-0.1353535353535353,-0.5200000000000005,0,0,0,0,0,0,0,0,0,0,1,0,0,0
KO,44,Coca-Cola,239420000000.0,🇺🇸 USA,4319321666.967346,1.0800000000000054,0.0197080291970803,-1.1799999999999995,0,0,1,0,0,0,0,0,0,0,0,1,0,0
CMCSA,45,Comcast,237030000000.0,🇺🇸 USA,4568812644.564379,-3.619999999999997,-0.0650377290693495,-0.3200000000000003,1,0,0,0,0,0,0,0,0,0,1,0,0,0
CSCO,46,Cisco,234240000000.0,🇺🇸 USA,4217500900.2520704,1.9099999999999968,0.0357744896047949,0.1000000000000014,0,0,0,0,0,0,0,0,1,0,0,1,0,0
AVGO,47,Broadcom,229980000000.0,🇺🇸 USA,411612048.7534229,95.93,0.2089113438881509,4.509999999999991,0,0,0,0,0,0,0,0,1,0,0,0,1,0
ACN,48,Accenture,228880000000.0,🇮🇪 Ireland,631619615.3103182,75.84999999999997,0.2662804985079865,12.629999999999995,0,0,0,0,0,0,0,0,1,0,0,0,0,1
PEP,49,Pepsico,226390000000.0,🇺🇸 USA,1382618785.8800538,17.400000000000006,0.11768684477511,0.2299999999999897,0,0,1,0,0,0,0,0,0,0,0,0,1,0
CVX,50,Chevron,225900000000.0,🇺🇸 USA,1927638877.0372896,10.700000000000005,0.1013257575757575,0.9499999999999886,0,0,0,1,0,0,0,0,0,0,0,0,1,0
DHR,51,Danaher,225430000000.0,🇺🇸 USA,714561937.3652846,59.60999999999999,0.2347682249616005,12.220000000000027,0,0,0,0,0,1,0,0,0,0,0,0,0,1
PYPL,52,PayPal,221720000000.0,🇺🇸 USA,1174924487.3085687,-69.12,-0.2687716296613135,31.46000000000004,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ABT,53,Abbott Laboratories,221160000000.0,🇺🇸 USA,1768289757.7356682,7.189999999999998,0.0613010486827521,-0.7199999999999989,0,0,0,0,0,1,0,0,0,0,0,1,0,0
RELIANCE.NS,54,Reliance Industries,219850000000.0,🇮🇳 India,6766697445.3678055,395.2999999999997,0.1990783874298087,-70.95000000000027,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MPNGF,55,Meituan,215090000000.0,🇨🇳 China,6081142210.913204,-1.4400000000000048,-0.0411193603655055,6.469999999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0
VZ,56,Verizon,213880000000.0,🇺🇸 USA,4140147115.756872,-5.229999999999997,-0.0917865917865917,-0.4600000000000008,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ABBV,57,AbbVie,209770000000.0,🇺🇸 USA,1767824035.058149,2.969999999999999,0.0256233284444826,-0.5600000000000023,0,0,0,0,0,1,0,0,0,0,0,1,0,0
MRK,58,Merck,207830000000.0,🇺🇸 USA,2525887214.3898883,7.390000000000001,0.0979976130486672,5.3559999999999945,0,0,0,0,0,1,0,0,0,0,0,0,1,0
WFC,59,Wells Fargo,204580000000.0,🇺🇸 USA,3987137010.3293705,5.159999999999997,0.1115916955017299,-1.4299999999999995,0,0,0,0,1,0,0,0,0,0,0,0,1,0
SHOP,60,Shopify,204090000000.0,🇨🇦 Canada,125285451.1970534,311.6299999999999,0.2470450203340652,218.11000000000013,0,0,0,0,0,0,0,0,1,0,0,0,0,1
QCOM,61,QUALCOMM,202390000000.0,🇺🇸 USA,1119971224.6140225,48.03,0.3613723572342187,8.390000000000015,0,0,0,0,0,0,0,0,1,0,0,0,0,1
INTC,62,Intel,202370000000.0,🇺🇸 USA,4066921221.864952,-7.859999999999999,-0.1379915730337079,-0.9799999999999968,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3968.HK,63,CM Bank,197680000000.0,🇨🇳 China,24959595959.59596,-3.0,-0.0452488687782804,-4.400000000000006,0,0,0,0,0,0,0,0,0,0,1,0,0,0
INTU,64,Intuit,193680000000.0,🇺🇸 USA,283157894.7368421,230.22,0.5227401739288389,51.08000000000004,0,0,0,0,0,0,0,0,1,0,0,0,0,1
HESAF,65,Hermès,192530000000.0,🇫🇷 France,104635869.5652174,568.27,0.4366169047198298,50.01999999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MCD,66,McDonald,192120000000.0,🇺🇸 USA,747228812.5704951,23.74000000000001,0.1023672976585745,-2.8999999999999773,0,1,0,0,0,0,0,0,0,0,0,0,1,0
AMD,67,AMD,190560000000.0,🇺🇸 USA,1207604562.7376423,72.47999999999999,0.9359504132231404,13.850000000000009,0,0,0,0,0,0,0,0,1,0,0,0,0,1
NVS,68,Novartis,183440000000.0,🇨🇭 Switzerland,2239531192.772556,-5.349999999999994,-0.0607816405362416,2.8599999999999994,0,0,0,0,0,1,0,0,0,0,1,0,0,0
MS,69,Morgan Stanley,181450000000.0,🇺🇸 USA,1794402689.8734176,12.170000000000002,0.1356895975025087,0.7399999999999949,0,0,0,0,1,0,0,0,0,0,0,0,1,0
UPS,70,United Parcel Service,181190000000.0,🇺🇸 USA,869141842.9510242,-1.6200000000000043,-0.007590310640491,-6.629999999999996,0,0,0,0,0,0,1,0,0,0,0,1,0,0
TXN,71,Texas Instruments,178790000000.0,🇺🇸 USA,923502066.1157024,3.9499999999999886,0.0209338067730138,2.480000000000018,0,0,0,0,0,0,0,0,1,0,0,1,0,0
AZN,72,Astrazeneca,174770000000.0,🇬🇧 UK,3102058927.937522,-0.740000000000002,-0.0128762832782322,3.1299999999999955,0,0,0,0,0,1,0,0,0,0,0,1,0,0
T,73,AT&T,174740000000.0,🇺🇸 USA,7140988966.080915,-4.989999999999998,-0.1677310924369747,-0.6499999999999986,1,0,0,0,0,0,0,0,0,0,1,0,0,0
LOW,74,Lowe's Companies,173300000000.0,🇺🇸 USA,685983454.0632546,61.25,0.3212524913458512,-0.8600000000000136,0,1,0,0,0,0,0,0,0,0,0,0,0,1
RYDAF,75,Shell,171240000000.0,🇳🇱 Netherlands,7822750114.2074,1.7600000000000016,0.088,0.4699999999999988,0,0,0,1,0,0,0,0,0,0,0,0,1,0
NEE,76,Nextera Energy,171110000000.0,🇺🇸 USA,1962045636.9682376,13.28,0.179386735107389,0.0600000000000022,0,0,0,0,0,0,0,0,0,1,0,0,1,0
